class,video,DE_Delta,DE_Theta,DE_Alpha,DE_Beta,DE_Gamma
16,3,-20.014302150333474,-19.38933650517932,-17.70396126163422,-20.990399832707027,-24.338696549525963
16,4,-16.6286266514791,-19.123717406851924,-20.14088969511296,-21.74778367969709,-24.84783831908626
16,5,-13.747833995342528,-17.3069372057556,-17.380891938375726,-21.117251776934353,-24.720915479142334
17,1,-12.833437387944251,-18.115367217473857,-19.86462630199683,-21.87039168419419,-24.482972072930064
17,2,-11.410753869784902,-15.872539317800328,-17.850320349032792,-20.9328388917558,-23.31986813319834
17,3,-12.736308340798315,-16.682510625394812,-19.159245959913356,-21.15512621329377,-23.298831713171055
17,4,-14.264005885829246,-16.742971232486646,-18.814592098967122,-21.905595302657424,-24.04474153269247
17,5,-7.462700250864783,-13.401339521481844,-15.177064235095424,-16.958146696472237,-19.821360026374602
18,1,-11.978881052302281,-17.788311254042025,-19.697161780263436,-21.30272290822536,-23.68277178619484
18,2,-8.207120986764547,-13.27921374744739,-15.610814675778016,-17.555416366826865,-20.16669931907297
18,3,-14.116532402294661,-18.68665256177626,-18.78242627531356,-21.00215749029028,-24.481393675513583
18,4,-10.257366226569998,-15.922371096626568,-16.81273020054708,-21.716399838870082,-23.243346879592316
18,5,-12.687851246792603,-18.137332434893935,-19.00282723034815,-21.56001172856273,-24.870331360059183
19,1,-15.62290833622203,-20.621081521012066,-18.468750702173743,-21.322390681474502,-25.306795161510458
19,2,-18.012786152914906,-19.090839264083034,-19.339887437426793,-20.74517685432511,-24.094291269061706
19,3,-7.959089118143804,-13.20144991230195,-15.356966926609992,-17.123542536101308,-19.93724120413792
19,4,-10.962488381771522,-15.593544423867035,-17.189477161113494,-19.38804640079655,-21.74437029429626
19,5,-8.514480122341878,-14.681975514782387,-17.595045201442577,-19.017076526895995,-22.047878278933993
20,1,-12.766091037271991,-18.39751738960102,-18.944422403195876,-21.026096256164607,-24.75735292108596
20,2,-14.712137740921262,-20.26211516762098,-19.643130654966644,-21.553672217459027,-24.922889272891695
20,3,-12.009940599546926,-18.137579427504694,-19.521827417696485,-21.12177948439421,-24.334790272450906
20,4,-12.479730380870913,-17.354236660614596,-19.899915185982145,-21.260755461152637,-23.38718018378195
20,5,-9.365935377962884,-15.046199987321172,-16.835568892004897,-19.039558249565804,-21.45062484552294
21,1,-15.079109984147783,-17.91601695738854,-19.71950195144238,-22.631328547516095,-24.937713025845643
21,2,-15.216632727681036,-19.77862723937604,-19.49815761433221,-21.382653180984793,-24.818167775379102
21,3,-12.238751515485024,-17.230418506750635,-19.341769069729363,-21.819357153877068,-24.410872852721283
21,4,-15.21590114095056,-18.785765889205244,-20.004732934361396,-21.79628182592194,-25.54064788109749
21,5,-15.171760359392355,-16.68499806400485,-19.16582452713411,-21.65233730156037,-24.25954849120393
22,1,-15.796338848457633,-16.86099797357817,-19.577106572728884,-21.154577836355664,-23.913486375668118
22,2,-16.040236583572103,-18.09055528389311,-19.598671931561416,-21.074613168569773,-25.16011952470383
22,3,-17.119394399211924,-18.336945966404937,-19.304364847769154,-21.58930734852043,-24.546652448619117
22,4,-14.344314339899855,-18.269599285310385,-19.88321740240654,-22.03632525812281,-24.933341857669156
22,5,-13.038255355877867,-17.07496650301993,-16.627683748706445,-21.70518971473458,-24.19550719979105
23,1,-11.340722290722614,-15.721922726890712,-17.244070796618743,-19.93617731116365,-22.616907036001745
23,2,-14.160067059877173,-18.43114026059494,-18.919808320954665,-22.092841656367348,-24.89965670951518
23,3,-11.189141245584405,-15.979552176442366,-17.839567436674855,-20.53156052498252,-22.676408460809125
23,4,-17.641802274922956,-17.398468325717335,-19.19280537032784,-20.985452204571022,-24.894813994880927
23,5,-14.301025241497483,-16.60483428423211,-18.294233403563393,-22.073005628586113,-24.62408547495206
24,1,-13.300128524043945,-16.91902310090849,-19.06020518291901,-22.02690896875938,-24.231410355525643
24,2,-16.19968898590076,-17.966360893850297,-20.07933866305243,-21.68532681693181,-25.12193605383649
24,3,-14.405186520672144,-17.52854154990623,-20.63898829226829,-21.77975562847531,-24.995054052633957
24,4,-17.74668862926697,-18.081528646615887,-20.853539729709237,-22.091711656386813,-25.466685653845133
24,5,-18.03519629075451,-18.787854471456512,-16.689644073794724,-20.88135200623439,-25.35038963728782
25,1,-11.324810919954764,-15.381083479476304,-18.464540214744453,-19.21635671183423,-22.397909615380833
25,2,-13.517825173033499,-17.055618474534818,-18.585373917928596,-22.222138755155225,-24.052216138228754
25,3,-13.62303807065843,-18.413534578809912,-18.194508798886048,-21.969836315071777,-24.864488671529763
25,4,-16.67961993860983,-17.731448685276657,-18.863705149447302,-21.784503063235228,-24.95868494910902
25,5,-16.561771703912537,-17.764988403758363,-17.215457525733118,-20.822051770113497,-25.033897529437112
26,1,-14.39970661495051,-17.936076013736372,-18.54710372487381,-22.149055565398772,-25.651348670512167
26,2,-13.343206017339739,-17.990104256908968,-20.080532133789287,-21.705626015863334,-24.52189523975984
26,3,-13.484508305623788,-17.381116934877834,-18.335067739886373,-21.97239952684633,-25.507727538215384
26,4,-16.732823006372556,-17.709604017081755,-19.150411138366483,-22.38813985866086,-24.778617576650607
26,5,-15.142106754916195,-19.40471306565031,-19.838496049268947,-21.908947643417868,-24.961068798053237
27,1,-12.322107096579831,-17.71239857366837,-17.461272633343782,-20.768782456070028,-23.85715623118037
27,2,-17.17339745933338,-20.260938667157685,-20.388877044495793,-22.019686202977333,-25.82458136063335
27,3,-14.461212160845035,-18.397950231910322,-18.169844093421027,-21.646899431292493,-25.00456645425731
27,4,-16.389932796518146,-19.298663077517055,-20.18386030677149,-22.126965424121877,-25.15670497176426
27,5,-14.01842784162285,-18.867557648430623,-20.11313190060649,-21.306588594862347,-24.675803557072516
28,1,-10.04637988510375,-15.768176348245232,-17.730852603561722,-20.182819872397847,-22.95685567139398
28,2,-10.599319442900592,-16.062259108945472,-17.565923094906037,-20.049531073014386,-22.70528403069823
28,3,-11.703161514346966,-17.307522622483003,-18.25951542937334,-20.596369621579566,-23.909305239375623
28,4,-17.41926652840729,-18.575166603958102,-19.727236980063832,-21.113963098406654,-25.67253334554755
28,5,-12.752432694733363,-16.09627516032028,-18.217255602333225,-20.87696545286718,-24.269150453311145
29,1,-13.205041160295112,-17.335138294772687,-17.38308203891631,-20.584097360152526,-23.87613931419146
29,2,-13.378577372627529,-17.18868208574019,-19.414261456901304,-20.917998331778094,-24.763492360103356
29,3,-16.262529804322835,-17.13563247262764,-18.237446257528575,-21.10880440750421,-25.039177332442044
29,4,-15.378413464185522,-19.214328900747127,-20.15509733169345,-22.202169864572998,-25.37116084968633
29,5,-12.735741887805569,-17.948332319472073,-17.217351109687648,-20.993619429213044,-24.563322612064933
30,1,-16.04848524470051,-16.726605143767348,-18.284193807511684,-20.372544502322295,-25.19135335782526
30,2,-16.709346977044515,-18.439889286764434,-21.10629347793539,-21.99030242395116,-24.917705587937753
30,3,-14.047481948288393,-17.17558125259749,-18.592088192208386,-21.243835997734784,-22.353419817488195
30,4,-13.536625972460506,-16.880281702433027,-18.74947062652414,-20.448638551138554,-23.65014513172208
30,5,-15.801576133544195,-17.274398019729535,-17.986985304464117,-21.46177782518676,-25.050150827571596
31,1,-11.052911940682826,-18.49946893930944,-17.8373792903007,-21.78439149204977,-25.232583022909974
31,2,-8.261496794299548,-13.609673258957825,-15.75388509855678,-18.26719683999537,-20.85208186821107
31,3,-12.041939396817996,-17.457627378558744,-18.8634987354188,-21.520743209699926,-24.478427013562097
31,4,-12.456889706651328,-18.46347874322466,-18.563932713399414,-21.362500461160778,-24.5210589735313
31,5,-11.129605581091925,-17.55981089257182,-18.91894743439193,-21.682338327160295,-24.114151118193877
32,1,-10.141462642429548,-15.335539795627069,-17.696922549265633,-19.56742976925053,-22.012895883850515
32,2,-17.715502019561576,-19.182690547648473,-18.74282403935084,-21.106607209396046,-24.684908577471592
32,3,-12.97068168471563,-17.874205810055113,-19.579561804591183,-22.252211021471595,-24.08508851118034
32,4,-16.45143412919028,-20.215003066142863,-17.866939725008983,-21.093007588174533,-24.14480723968947
32,5,-14.67370105681476,-16.344552318472246,-17.21042696424491,-20.561747298710145,-23.291916035075868
33,1,-18.134793293604535,-19.113349180082558,-18.70012667041318,-20.88872781458769,-25.312220311787975
33,2,-15.86914112980465,-17.346924514234587,-18.04570486629416,-20.86818236009381,-24.94409299969739
33,3,-13.83066991539009,-17.377762937587207,-19.67833105163111,-21.57127825788721,-23.84247644889994
33,4,-14.553850609118577,-17.76319657695532,-19.263671095506634,-21.65637090539358,-25.235038008868386
33,5,-17.584009243729472,-18.1828960906657,-18.135347574991524,-23.556325341367927,-25.429704964973755
34,1,-13.19633458489148,-17.781769001012087,-19.37270013739536,-20.46038138511756,-24.80425873433276
34,2,-12.728167801651752,-17.41946809398418,-18.700929366709875,-21.03021976886222,-23.96740331799579
34,3,-15.150302163467622,-17.703642513480474,-17.263169111164853,-21.461870171855,-25.63099202814
34,4,-13.569943886465955,-16.759752315785363,-17.768661554497335,-22.050884339460442,-25.317207890729097
34,5,-13.82588944740996,-17.31416337345117,-18.466364573183927,-20.729783123176606,-24.231088373985592
35,1,-8.662568404474786,-13.995998627263058,-15.316315387992992,-18.13263959654585,-20.63768716620581
35,2,-9.026857094083617,-15.657195732359655,-17.022718924275424,-19.086336103920633,-22.31680529444217
35,3,-13.639352943248186,-16.03874144399823,-18.857064556549997,-21.131338373661347,-24.19234320546463
35,4,-9.89113286012973,-15.850883814285206,-18.168197585093978,-20.23982221301971,-21.49993924470586
35,5,-11.01317011409148,-16.777758307668822,-18.334152428299284,-20.420604251374368,-23.244568652931125
36,1,-14.664731446958355,-17.895876084143826,-18.664251920715778,-21.216459371266335,-25.064178400756745
36,2,-14.411985114823882,-19.995492698642398,-19.480284852766204,-21.130343915709116,-25.372669574828418
36,3,-13.503805576417784,-17.69702910924747,-20.604626086942787,-21.025234373961837,-23.612499431850917
36,4,-14.994564233200688,-16.64741964195006,-17.136055172068552,-21.235011519538197,-24.599984096967503
36,5,-11.953369647358066,-17.179542787041786,-18.290677666721628,-20.282448513686944,-23.59835636724073
37,1,-15.015780321055269,-18.420746948390605,-18.661592827609223,-21.195288762094048,-25.2459844887434
37,2,-18.70229295543977,-18.586786737277126,-18.72666596441156,-21.453441878295205,-25.06467622059854
37,3,-16.250290589090447,-18.802081389808475,-19.991127702903267,-21.47302806022795,-25.151027918831435
37,4,-14.588420290112117,-15.960070569847893,-19.610773656427106,-20.992856021294564,-25.380860859295566
37,5,-14.11304976774429,-18.54504198260161,-21.234880741016525,-21.668084207375298,-25.522383261488095
38,1,-9.325134712015172,-14.250212130156108,-17.012717037768706,-19.23509796249946,-21.187765546297012
38,2,-11.30629552898179,-17.540344544615408,-18.350767237471914,-21.771822746923853,-24.53106355502583
38,3,-10.521759621600937,-16.214414296158143,-18.233773881557084,-20.751787685019522,-23.161989319753772
38,4,-9.911944420183286,-14.220465568077005,-17.592975762202947,-20.531973904639518,-22.6887641571937
38,5,-10.671263816950727,-15.858355794677006,-17.542792152349733,-19.001009000470813,-21.908622494990496
39,1,-13.315478346563353,-18.217696355386984,-19.19252831659954,-21.18543596920115,-25.05011487981901
39,2,-10.18893379251159,-16.328345055797406,-16.538464210773608,-20.1721416008164,-23.037683927179533
39,3,-8.889838795694908,-14.963725215104425,-17.000632643204696,-18.97900215924918,-21.480595773471574
39,4,-8.135680326710714,-13.741422057269514,-15.513659404161778,-17.927239125211976,-20.811523821870253
39,5,-9.25498516452759,-16.849995185795684,-16.368149681929115,-20.09671843828165,-23.87157571943864
40,1,-8.680587766721972,-14.677597395974297,-15.924358554739017,-18.06775555090526,-20.704992845342556
40,2,-11.817919264732907,-16.674774582856344,-17.985029555892066,-20.32097533824797,-22.890394733941754
40,3,-10.3554667194314,-15.383835252005824,-17.32951647857385,-20.266750642985407,-22.647919842288168
40,4,-10.644902084880284,-15.476043963741331,-17.08442868257457,-19.235127412390007,-21.50248599387849
40,5,-10.81935532169994,-15.660112429895507,-15.671009847236187,-18.63519568228241,-21.456595003396195
